ConflictId,Location,CumulativeIntensity,StartDate2,EpEndDate,lat,lon
1-133,Ethiopia,0,1/11/1964,12/31/1964,8.6267033,39.63755417
1-133,Ethiopia,0,10/31/1976,NULL,8.6267033,39.63755417
1-133,Ethiopia,1,10/31/1976,12/31/1983,8.6267033,39.63755417
1-133,Ethiopia,1,10/13/1993,8/27/1994,8.6267033,39.63755417
1-133,Ethiopia,1,8/9/1996,12/31/1996,8.6267033,39.63755417
1-133,Ethiopia,1,12/31/1998,NULL,8.6267033,39.63755417
1-134,Indonesia,1,12/7/1975,12/31/1989,-1.2480891,115.4189987
1-134,Indonesia,1,12/15/1992,12/31/1992,-1.2480891,115.4189987
1-134,Indonesia,1,5/31/1997,12/31/1998,-1.2480891,115.4189987
1-135,Morocco,0,11/4/1975,NULL,29.140591,-8.95338821
1-135,Morocco,1,11/4/1975,11/16/1989,29.140591,-8.95338821
1-136,Mozambique,0,12/31/1977,NULL,-17.555864,35.95569229
1-136,Mozambique,1,12/31/1977,10/19/1992,-17.555864,35.95569229
1-136,Mozambique,1,11/5/2013,NULL,-17.555864,35.95569229
1-137,Afghanistan,1,4/27/1978,12/7/2001,33.833248,66.02528381
1-137,Afghanistan,1,6/4/2003,NULL,33.833248,66.02528381
1-138,"China, Vietnam (North Vietnam)",0,1/20/1974,12/31/1974,36.553085,103.9754333
1-138,"China, Vietnam (North Vietnam)",0,12/31/1978,NULL,36.553085,103.9754333
1-138,"China, Vietnam (North Vietnam)",1,12/31/1978,12/31/1981,36.553085,103.9754333
1-138,"China, Vietnam (North Vietnam)",1,12/31/1983,12/31/1984,36.553085,103.9754333
1-138,"China, Vietnam (North Vietnam)",1,12/31/1986,12/31/1988,36.553085,103.9754333
1-139,India,0,12/31/1979,8/12/1988,23.406012,79.45809174
1-139,India,0,10/12/1992,8/23/1993,23.406012,79.45809174
1-139,India,0,10/31/1995,12/31/1995,23.406012,79.45809174
1-139,India,0,6/10/1997,12/31/2004,23.406012,79.45809174
1-139,India,0,11/7/2006,12/31/2006,23.406012,79.45809174
1-14,Russia (Soviet Union),1,12/31/1946,12/31/1950,63.125187,103.7539825
1-140,Nicaragua,0,10/10/1977,NULL,12.903773,-84.9218216
1-140,Nicaragua,1,10/10/1977,7/19/1979,12.903773,-84.9218216
1-140,Nicaragua,1,4/17/1982,4/19/1990,12.903773,-84.9218216
1-141,Somalia,0,12/31/1982,12/31/1984,5.9482675,47.47360611
1-141,Somalia,0,3/3/1986,NULL,5.9482675,47.47360611
1-141,Somalia,1,3/3/1986,12/20/1996,5.9482675,47.47360611
1-141,Somalia,1,5/12/2001,10/28/2002,5.9482675,47.47360611
1-141,Somalia,1,10/24/2006,NULL,5.9482675,47.47360611
1-143,Iran,0,12/31/1979,NULL,32.500778,54.2942009
1-143,Iran,1,12/31/1979,12/31/1982,32.500778,54.2942009
1-143,Iran,1,12/31/1986,12/31/1988,32.500778,54.2942009
1-143,Iran,1,4/3/1991,12/31/1993,32.500778,54.2942009
1-143,Iran,1,2/18/1997,12/31/1997,32.500778,54.2942009
1-143,Iran,1,11/25/1999,12/31/2001,32.500778,54.2942009
1-143,Iran,1,8/7/2005,12/27/2011,32.500778,54.2942009
1-144,Iran,0,5/31/1979,12/31/1980,32.500778,54.2942009
1-145,Saudi Arabia,0,11/20/1979,12/4/1979,23.994726,44.40135574
1-146,Liberia,0,4/12/1980,4/14/1980,6.4115129,-9.32349205
1-146,Liberia,0,12/26/1989,12/31/1990,6.4115129,-9.32349205
1-146,Liberia,0,5/31/2000,NULL,6.4115129,-9.32349205
